titre;realisateur;date_debut;date_fin;cadre;lieu;arrondissement;adresse_complete;geo_coordinates
ENVOYES (TRES) SPECIAUX;FREDERIC AUBURTIN;21/02/2008;21/02/2008;EXTERIEUR;RUE DE CLIGNANCOURT;75018;RUE DE CLIGNANCOURT 75018 Paris France;48.889745, 2.348297
ENVOYES (TRES) SPECIAUX;FREDERIC AUBURTIN;02/08/2008;02/08/2008;EXTERIEUR;RUE CUSTINE ANGLE DU BD BARBES;75018;RUE CUSTINE ANGLE DU BD BARBES 75018 Paris France;
ENVOYES (TRES) SPECIAUX;FREDERIC AUBURTIN;19/02/2008;19/02/2008;EXTERIEUR;RUE DU FAUBOURG POISSONNIERE;75010;RUE DU FAUBOURG POISSONNIERE 75010 Paris France;48.876922, 2.348847
ENVOYES (TRES) SPECIAUX;FREDERIC AUBURTIN;21/01/2008;21/01/2008;EXTERIEUR;RUE DE MARIVAUX;75002;RUE DE MARIVAUX 75002 Paris France;
ENVOYES (TRES) SPECIAUX;FREDERIC AUBURTIN;18/02/2008;18/02/2008;EXTERIEUR;RUE DU FAUBOURG POISSONNIERE;75010;RUE DU FAUBOURG POISSONNIERE 75010 Paris France;48.876922, 2.348847
UN HOMME ET SON CHIEN;FRANCIS HUSTER;22/02/2008;22/02/2008;DOMAINE PUBLIC;PARC DES BUTTES CHAUMONT;75019;PARC DES BUTTES CHAUMONT 75019 Paris France;48.879974, 2.381841
UN HOMME ET SON CHIEN;FRANCIS HUSTER;18/03/2008;18/03/2008;DOMAINE PUBLIC;PARC DES BUTTES CHAUMONT;75019;PARC DES BUTTES CHAUMONT 75019 Paris France;48.879974, 2.381841
UN HOMME ET SON CHIEN;FRANCIS HUSTER;27/02/2008;27/02/2008;EXTERIEUR;PLACE EDOUARD VII;75009;PLACE EDOUARD VII 75009 Paris France;48.871253, 2.32903
UN HOMME ET SON CHIEN;FRANCIS HUSTER;21/02/2008;21/02/2008;EXTERIEUR;PONT DES ARTS;75001;PONT DES ARTS 75001 Paris France;48.858795, 2.337747
UN HOMME ET SON CHIEN;FRANCIS HUSTER;26/02/2008;26/02/2008;EXTERIEUR;RUE SCRIBE;75009;RUE SCRIBE 75009 Paris France;48.871656, 2.330536
UN HOMME ET SON CHIEN;FRANCIS HUSTER;25/02/2008;25/02/2008;EXTERIEUR;SQUARE PHILIPPE PINEL;75013;SQUARE PHILIPPE PINEL 75013 Paris France;
LOL;LISA AZUELOS;21/04/2008;21/04/2008;EXTERIEUR;AVENUE DE LAMBALLE;75016;AVENUE DE LAMBALLE 75016 Paris France;
LOL;LISA AZUELOS;04/10/2008;04/10/2008;EXTERIEUR;PLACE THEODORE RIVIERE;75016;PLACE THEODORE RIVIERE 75016 Paris France;
LOL;LISA AZUELOS;03/03/2008;03/03/2008;EXTERIEUR;PLACE THEODORE RIVIERE;75016;PLACE THEODORE RIVIERE 75016 Paris France;
LOL;LISA AZUELOS;03/03/2008;03/03/2008;EXTERIEUR;RUE VERDERET;75016;RUE VERDERET 75016 Paris France;
LOL;LISA AZUELOS;04/10/2008;04/10/2008;EXTERIEUR;RUE DU BUIS;75016;RUE DU BUIS 75016 Paris France;48.847178, 2.267797
LOL;LISA AZUELOS;28/04/2008;28/04/2008;EXTERIEUR;RUE DE PRESBOURG;75016;RUE DE PRESBOURG 75016 Paris France;48.873207, 2.293027
ET SI...;OLEG OSSIPOV;03/04/2008;03/04/2008;DOMAINE PUBLIC;BERGES DU CANAL;93500;BERGES DU CANAL 93500 Paris France;48.856614, 2.352222
ET SI...;OLEG OSSIPOV;03/07/2008;03/07/2008;EXTERIEUR;RUE COCHIN;75005;RUE COCHIN 75005 Paris France;
TON PROCHAIN;ANNE RIITTA CICCONE;19/03/2008;19/03/2008;EXTERIEUR;AVENUE DE BRETEUIL;75007;AVENUE DE BRETEUIL 75007 Paris France;48.849525, 2.312288
TON PROCHAIN;ANNE RIITTA CICCONE;17/03/2008;17/03/2008;EXTERIEUR;PLACE DE CLICHY;75017;PLACE DE CLICHY 75017 Paris France;48.883588, 2.327195
TON PROCHAIN;ANNE RIITTA CICCONE;19/03/2008;19/03/2008;EXTERIEUR;PLACE VAUBAN;75007;PLACE VAUBAN 75007 Paris France;48.853663, 2.312772
TON PROCHAIN;ANNE RIITTA CICCONE;17/03/2008;17/03/2008;EXTERIEUR;RUE BIOT;75017;RUE BIOT 75017 Paris France;48.885037, 2.325444
TON PROCHAIN;ANNE RIITTA CICCONE;19/03/2008;19/03/2008;EXTERIEUR;RUE DE VAUGIRARD;75015;RUE DE VAUGIRARD 75015 Paris France;48.84312, 2.313183
TON PROCHAIN;ANNE RIITTA CICCONE;19/03/2008;19/03/2008;EXTERIEUR;RUE LECOURBE;75015;RUE LECOURBE 75015 Paris France;48.84046, 2.295724
LES HERBES FOLLES;ALAIN RESNAIS;23/09/2008;23/09/2008;EXTERIEUR;AVENUE DU GENERAL EISENHOVER;75008;AVENUE DU GENERAL EISENHOVER 75008 Paris France;
LES HERBES FOLLES;ALAIN RESNAIS;23/09/2008;23/09/2008;EXTERIEUR;AVENUE FRANKLIN ROOSEVELT;75008;AVENUE FRANKLIN ROOSEVELT 75008 Paris France;48.869169, 2.310126
LES HERBES FOLLES;ALAIN RESNAIS;09/05/2008;09/05/2008;DOMAINE PUBLIC;JARDIN NATUREL;75020;JARDIN NATUREL 75020 Paris France;
LES HERBES FOLLES;ALAIN RESNAIS;23/09/2008;23/09/2008;EXTERIEUR;PLACE CLEMENCEAU;75008;PLACE CLEMENCEAU 75008 Paris France;48.86736, 2.314549
LES HERBES FOLLES;ALAIN RESNAIS;26/03/2008;26/03/2008;EXTERIEUR;QUAI DE L'ARCHEVECHE;75004;QUAI DE L'ARCHEVECHE 75004 Paris France;48.852214, 2.351984
LES HERBES FOLLES;ALAIN RESNAIS;25/06/2008;25/06/2008;EXTERIEUR;RUE DES CERISOLES;75008;RUE DES CERISOLES 75008 Paris France;
LES ZONES TURQUOISES;JALIL LESPERT;04/07/2008;04/07/2008;EXTERIEUR;FAUBOURG ST DENIS/ANGLE RUE DES PETITES ECURIES;75010;FAUBOURG ST DENIS/ANGLE RUE DES PETITES ECURIES 75010 Paris France;
A L'ORIGINE;XAVIER GIANNOLI;04/12/2008;13/04/2008;EXTERIEUR;PLACE LOUIS ARMAND;75012;PLACE LOUIS ARMAND 75012 Paris France;48.845464, 2.373353
A L'ORIGINE;XAVIER GIANNOLI;04/12/2008;13/04/2008;EXTERIEUR;QUAI DE LA RAPEE;75012;QUAI DE LA RAPEE 75012 Paris France;
A L'ORIGINE;XAVIER GIANNOLI;04/12/2008;13/04/2008;EXTERIEUR;RUE DE BERCY;75012;RUE DE BERCY 75012 Paris France;48.841812, 2.376913
COMMIS D'OFFICE;HANNELORE CAYRE;25/04/2008;25/04/2008;EXTERIEUR;AVENUE DES GOBELINS;75013;AVENUE DES GOBELINS 75013 Paris France;
COMMIS D'OFFICE;HANNELORE CAYRE;23/04/2008;23/04/2008;EXTERIEUR;BOULEVARD EXELMANS;75016;BOULEVARD EXELMANS 75016 Paris France;48.842398, 2.26181
COMMIS D'OFFICE;HANNELORE CAYRE;23/04/2008;23/04/2008;EXTERIEUR;BOULEVARD DU PALAIS;75004;BOULEVARD DU PALAIS 75004 Paris France;48.855293, 2.34588
DEMAIN DES L'AUBE;DENIS DERCOURT;08/01/2008;08/01/2008;EXTERIEUR;RUE BOSSUET;75010;RUE BOSSUET 75010 Paris France;48.878601, 2.352245
HADEWIJCH;BRUNO DUMONT;13/08/2008;13/08/2008;EXTERIEUR;AVENUE KLEBER (ENTREE METRO);75016;AVENUE KLEBER (ENTREE METRO) 75016 Paris France;
HADEWIJCH;BRUNO DUMONT;08/08/2008;08/08/2008;EXTERIEUR;QUAI D'ANJOU;75004;QUAI D'ANJOU 75004 Paris France;48.851915, 2.35861
HADEWIJCH;BRUNO DUMONT;08/07/2008;08/07/2008;EXTERIEUR;QUAI D'ANJOU;75004;QUAI D'ANJOU 75004 Paris France;48.851915, 2.35861
HADEWIJCH;BRUNO DUMONT;08/07/2008;08/07/2008;EXTERIEUR;QUAI DE BETHUME;75004;QUAI DE BETHUME 75004 Paris France;
HADEWIJCH;BRUNO DUMONT;08/12/2008;08/12/2008;EXTERIEUR;RUE BUDE;75004;RUE BUDE 75004 Paris France;
MON BEAU PERE;ELIE CHOURAQUI;09/10/2008;09/10/2008;EXTERIEUR;BOULEVARD SAINT MARTIN;75010;BOULEVARD SAINT MARTIN 75010 Paris France;48.868454, 2.359001
MON BEAU PERE;ELIE CHOURAQUI;09/10/2008;09/10/2008;EXTERIEUR;RUE RENE BOULANGER;75010;RUE RENE BOULANGER 75010 Paris France;48.868379, 2.360862
MON BEAU PERE;ELIE CHOURAQUI;09/04/2008;09/04/2008;EXTERIEUR;RUE DU DOCTEUR LANCEREAUX;75008;RUE DU DOCTEUR LANCEREAUX 75008 Paris France;48.876055, 2.310371
MON BEAU PERE;ELIE CHOURAQUI;08/04/2008;08/04/2008;EXTERIEUR;RUE CHARLEMAGNE;75004;RUE CHARLEMAGNE 75004 Paris France;48.854179, 2.360548
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;15/12/2008;15/12/2008;EXTERIEUR;BOULEVARD BERTHIER;75017;BOULEVARD BERTHIER 75017 Paris France;48.889803, 2.303428
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;09/08/2008;09/11/2008;EXTERIEUR;PASSERELLE D'IVRY SUR SEINE ET DE CHARENTON LE PONT;75000;PASSERELLE D'IVRY SUR SEINE ET DE CHARENTON LE PONT 75000 Paris France;
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;25/11/2008;25/11/2008;EXTERIEUR;PASSERELLE DU PONT DE CRIMEE;75019;PASSERELLE DU PONT DE CRIMEE 75019 Paris France;
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;28/11/2008;28/11/2008;EXTERIEUR;PONT DE L'OURCQ;75019;PONT DE L'OURCQ 75019 Paris France;
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;12/02/2008;12/02/2008;EXTERIEUR;PONT DE L'OURCQ;75019;PONT DE L'OURCQ 75019 Paris France;
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;12/01/2008;12/01/2008;EXTERIEUR;QUAI DE LA MARNE;75019;QUAI DE LA MARNE 75019 Paris France;48.889903, 2.383087
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;24/11/2008;24/11/2008;EXTERIEUR;RUE DE CRIMEE;75019;RUE DE CRIMEE 75019 Paris France;48.886066, 2.382069
MICMACS A TIRE LARIGOT;JEAN PIERRE JEUNET;25/08/2008;25/08/2008;EXTERIEUR;TERRE-PLEIN DE LA PLACE BLANCHE;75018;TERRE-PLEIN DE LA PLACE BLANCHE 75018 Paris France;
LES PETITS PRINCES;G. JULIEN LAFERRIERE;14/08/2008;14/08/2008;EXTERIEUR;PONT D'IENA;75016;PONT D'IENA 75016 Paris France;48.859703, 2.292223
LES PETITS PRINCES;G. JULIEN LAFERRIERE;08/08/2008;08/08/2008;EXTERIEUR;PONT DE LA TOURNELLE;75004;PONT DE LA TOURNELLE 75004 Paris France;48.850686, 2.3555
36 VUES DU PIC SAINT LOUP;JACQUES RIVETTE;14/08/2008;14/08/2008;EXTERIEUR;RUE DE RIVOLI;75001;RUE DE RIVOLI 75001 Paris France;48.860787, 2.341197
JE NE DIS PAS NON;ILIANA LOLIC;18/08/2008;18/08/2008;EXTERIEUR;RUE DE LA PERLE;75003;RUE DE LA PERLE 75003 Paris France;48.859932, 2.360739
JE NE DIS PAS NON;ILIANA LOLIC;10/06/2008;10/06/2008;EXTERIEUR;RUE DES PETITS HOTELS;75010;RUE DES PETITS HOTELS 75010 Paris France;48.877464, 2.353378
JE NE DIS PAS NON;ILIANA LOLIC;10/06/2008;10/06/2008;EXTERIEUR;RUE DU PONT LOUIS PHILIPPE;75004;RUE DU PONT LOUIS PHILIPPE 75004 Paris France;
JE NE DIS PAS NON;ILIANA LOLIC;27/08/2008;27/08/2008;EXTERIEUR;RUE DE L'HOTEL DE VILLE;75004;RUE DE L'HOTEL DE VILLE 75004 Paris France;48.854291, 2.355951
JE NE DIS PAS NON;ILIANA LOLIC;27/08/2008;27/08/2008;DOMAINE PUBLIC;SQUARE DES BERGES;75004;SQUARE DES BERGES 75004 Paris France;
ERREUR DE LA BANQUE EN VOTRE FAVEUR;MICHEL MUNZ;09/11/2008;09/11/2008;EXTERIEUR;AVENUE VELASQUEZ;75008;AVENUE VELASQUEZ 75008 Paris France;48.880009, 2.313161
ERREUR DE LA BANQUE EN VOTRE FAVEUR;MICHEL MUNZ;22/09/2008;23/09/2008;EXTERIEUR;PLACE CHARLES DULLIN;75018;PLACE CHARLES DULLIN 75018 Paris France;
LE PERE DE MES ENFANTS;MIA HANSEN LOVE;09/02/2008;09/02/2008;EXTERIEUR;BOULEVARD DES CAPUCINES;75009;BOULEVARD DES CAPUCINES 75009 Paris France;48.870442, 2.331035
LE PERE DE MES ENFANTS;MIA HANSEN LOVE;16/10/2008;16/10/2008;EXTERIEUR;PASSERELLE SIMONE DE BEAUVOIR;75012;PASSERELLE SIMONE DE BEAUVOIR 75012 Paris France;
LE PERE DE MES ENFANTS;MIA HANSEN LOVE;16/09/2008;16/09/2008;EXTERIEUR;RUE GABRIEL LAUMAIN;75010;RUE GABRIEL LAUMAIN 75010 Paris France;48.873401, 2.348832
LE PERE DE MES ENFANTS;MIA HANSEN LOVE;17/10/2008;17/10/2008;EXTERIEUR;RUE GABRIEL LAUMAIN;75010;RUE GABRIEL LAUMAIN 75010 Paris France;48.873401, 2.348832
LE PERE DE MES ENFANTS;MIA HANSEN LOVE;09/01/2008;09/01/2008;EXTERIEUR;RUE DE LA LUNE;75002;RUE DE LA LUNE 75002 Paris France;48.86976, 2.349727
LE PERE DE MES ENFANTS;MIA HANSEN LOVE;09/02/2008;09/02/2008;EXTERIEUR;RUE SAINT AUGUSTIN;75002;RUE SAINT AUGUSTIN 75002 Paris France;
ICHH;PRABHUDEVA SUNDARAM;06/05/2010;06/05/2010;EXTERIEUR;PLACE DE L'OPERA;75002;PLACE DE L'OPERA 75002 Paris France;48.870127, 2.332444
ICHH;PRABHUDEVA SUNDARAM;06/09/2010;06/09/2010;EXTERIEUR;AVENUE ALBERT 1ER DE MONACO;75016;AVENUE ALBERT 1ER DE MONACO 75016 Paris France;48.861649, 2.289984
HALLAL POLICE D'ETAT;RACHID DHIBOU;16/06/2010;16/06/2010;EXTERIEUR;BOULEVARD MAGENTA;75010;BOULEVARD MAGENTA 75010 Paris France;48.876019, 2.35621
HALLAL POLICE D'ETAT;RACHID DHIBOU;06/09/2010;06/09/2010;EXTERIEUR;RUE DES 3 FRERES ET NÂ° 4/6;75018;RUE DES 3 FRERES ET NÂ° 4/6 75018 Paris France;
HALLAL POLICE D'ETAT;RACHID DHIBOU;06/09/2010;06/09/2010;EXTERIEUR;RUE DE CLIGNANCOURT;75018;RUE DE CLIGNANCOURT 75018 Paris France;48.889745, 2.348297
HALLAL POLICE D'ETAT;RACHID DHIBOU;29/06/2010;29/06/2010;EXTERIEUR;PLACE DE L'OPERA;75009;PLACE DE L'OPERA 75009 Paris France;48.870766, 2.332529
HALLAL POLICE D'ETAT;RACHID DHIBOU;06/09/2010;06/09/2010;EXTERIEUR;RUE DREVET;75018;RUE DREVET 75018 Paris France;48.885362, 2.340569
HALLAL POLICE D'ETAT;RACHID DHIBOU;06/09/2010;06/09/2010;EXTERIEUR;RUE ANDRE BARSACQ;75018;RUE ANDRE BARSACQ 75018 Paris France;
QUI A ENVIE D'ETRE AIME/CATHOLIQUE ANONYME;ANNE GIAFFERI;06/11/2010;06/11/2010;EXTERIEUR;PLACE DU PANTHEON;75005;PLACE DU PANTHEON 75005 Paris France;48.845685, 2.345901
QUI A ENVIE D'ETRE AIME/CATHOLIQUE ANONYME;ANNE GIAFFERI;07/09/2010;07/09/2010;EXTERIEUR;BOULEVARD EXCELMANS;75016;BOULEVARD EXCELMANS 75016 Paris France;
QUI A ENVIE D'ETRE AIME/CATHOLIQUE ANONYME;ANNE GIAFFERI;17/06/2010;17/06/2010;EXTERIEUR;AVENUE DE VILLIERS;75017;AVENUE DE VILLIERS 75017 Paris France;48.884033, 2.303704
QUI A ENVIE D'ETRE AIME/CATHOLIQUE ANONYME;ANNE GIAFFERI;14/06/2010;14/06/2010;EXTERIEUR;RUE DE THIONVILLE/DES ARDENNES;75019;RUE DE THIONVILLE/DES ARDENNES 75019 Paris France;
QUI A ENVIE D'ETRE AIME/CATHOLIQUE ANONYME;ANNE GIAFFERI;21/06/2010;21/06/2010;EXTERIEUR;RUE DE PHALSBOURG;75017;RUE DE PHALSBOURG 75017 Paris France;
MAN MADAN AMBU;M.RAVIKUMAR;06/12/2010;06/12/2010;EXTERIEUR;RUE EGINHARD;75004;RUE EGINHARD 75004 Paris France;48.85408, 2.361536
MOI, MICHEL G.;STEPHAN KAZANDJIAN;17/06/2010;17/06/2010;EXTERIEUR;BOULEVARD SAINT GERMAIN;75006;BOULEVARD SAINT GERMAIN 75006 Paris France;48.853221, 2.335691
MOI, MICHEL G.;STEPHAN KAZANDJIAN;16/06/2010;16/06/2010;EXTERIEUR;BOULEVARD DES CAPUCINES;75009;BOULEVARD DES CAPUCINES 75009 Paris France;48.870442, 2.331035
LE PREMIER HOMME;GIOVANNI AMELIO;16/06/2010;16/06/2010;DOMAINE PUBLIC;CIMETIERE DE PANTIN;93500;CIMETIERE  DE PANTIN 93500 Paris France;
MONTE CARLO STORY;THOMAS BEZUCHA;21/06/2010;22/06/2010;EXTERIEUR;AVENUE JOSEPH BOUVARD;75007;AVENUE JOSEPH BOUVARD 75007 Paris France;48.856455, 2.298176
BYE BYE BLONDIE;VIRGINIE DESPENTES;20/08/2010;20/08/2010;EXTERIEUR;RUE DE CHINE;75020;RUE DE CHINE 75020 Paris France;
BYE BYE BLONDIE;VIRGINIE DESPENTES;21/08/2010;21/08/2010;EXTERIEUR;RUE DE LA CHINE;75020;RUE DE LA CHINE 75020 Paris France;
BYE BYE BLONDIE;VIRGINIE DESPENTES;14/08/2010;14/08/2010;EXTERIEUR;RUE LEDRU ROLLIN;75012;RUE LEDRU ROLLIN 75012 Paris France;
BYE BYE BLONDIE;VIRGINIE DESPENTES;20/08/2010;20/08/2010;EXTERIEUR;PLACE JOACHIM DU BELLAY;75001;PLACE JOACHIM DU BELLAY 75001 Paris France;
UN ETE BRULANT;PHILIPPE GARREL;30/07/2010;30/07/2010;EXTERIEUR;PLACE JEANNE D'ARC;75013;PLACE JEANNE D'ARC 75013 Paris France;48.829635, 2.368092
MIDNIGHT IN PARIS;WOODY ALLEN;07/05/2010;07/06/2010;EXTERIEUR;TERRE-PLEIN DE LA PLACE DE LA REPUBLIQUE;75011;TERRE-PLEIN DE LA PLACE DE LA REPUBLIQUE 75011 Paris France;
MIDNIGHT IN PARIS;WOODY ALLEN;07/08/2010;07/08/2010;EXTERIEUR;RUE MALEBRANCHE;75005;RUE MALEBRANCHE 75005 Paris France;48.846433, 2.342561
MIDNIGHT IN PARIS;WOODY ALLEN;27/07/2010;28/07/2010;EXTERIEUR;PLACE DE L'ABBE BASSET;75005;PLACE DE L'ABBE BASSET 75005 Paris France;
MIDNIGHT IN PARIS;WOODY ALLEN;07/12/2010;13/07/2010;EXTERIEUR;QUAI DE BOURBON;75006;QUAI DE BOURBON 75006 Paris France;
MIDNIGHT IN PARIS;WOODY ALLEN;26/07/2010;26/07/2010;EXTERIEUR;RUE ROYALE;75008;RUE ROYALE 75008 Paris France;48.867987, 2.322978
MIDNIGHT IN PARIS;WOODY ALLEN;16/07/2010;16/07/2010;EXTERIEUR;RUE FREDERIC SAUTON;75005;RUE FREDERIC SAUTON 75005 Paris France;
MIDNIGHT IN PARIS;WOODY ALLEN;30/07/2010;30/07/2010;EXTERIEUR;PLACE DE L'ABBE BASSET;75005;PLACE DE L'ABBE BASSET 75005 Paris France;
MON PERE EST FEMME DE MENAGE;SAPHIA AZZEDDINE;16/07/2010;16/07/2010;EXTERIEUR;BOULEVARD DES CAPUCINES;75002;BOULEVARD DES CAPUCINES 75002 Paris France;48.870325, 2.331186
LA CROISIERE;PASCALE POUZADOUX;20/07/2010;20/07/2010;EXTERIEUR;RUE DE RIVOLI;75001;RUE DE RIVOLI 75001 Paris France;48.860787, 2.341197
LES HOMMES LIBRES;ISMAEL FERROUKHI;18/08/2010;18/08/2010;EXTERIEUR;QUAI DE BOURBON;75005;QUAI DE BOURBON 75005 Paris France;
LES HOMMES LIBRES;ISMAEL FERROUKHI;08/11/2010;08/11/2010;EXTERIEUR;RUE DES TROIS COURONNES;75011;RUE DES TROIS COURONNES 75011 Paris France;48.869274, 2.380155
LES HOMMES LIBRES;ISMAEL FERROUKHI;16/08/2010;16/08/2010;EXTERIEUR;PONT ALEXANDRE III;75008;PONT ALEXANDRE III 75008 Paris France;48.863669, 2.313547
LES HOMMES LIBRES;ISMAEL FERROUKHI;09/06/2010;09/06/2010;EXTERIEUR;RUE BOSSUET;75010;RUE BOSSUET 75010 Paris France;48.878601, 2.352245
LES HOMMES LIBRES;ISMAEL FERROUKHI;09/06/2010;09/06/2010;EXTERIEUR;RUE FENELON;75010;RUE FENELON 75010 Paris France;48.87869, 2.351438
LES HOMMES LIBRES;ISMAEL FERROUKHI;17/08/2010;17/08/2010;EXTERIEUR;RUE DE NAVARRE;75005;RUE DE NAVARRE 75005 Paris France;48.844357, 2.353011
LES HOMMES LIBRES;ISMAEL FERROUKHI;18/08/2010;18/08/2010;EXTERIEUR;PORT DE LA TOURNELLE;75005;PORT  DE LA TOURNELLE 75005 Paris France;
ET SOUDAIN TOUT LE MONDE ME MANQUE;JENNIFER DEVOLDERE;29/07/2010;29/07/2010;EXTERIEUR;RUE DE L'ALBONI;75016;RUE DE L'ALBONI 75016 Paris France;48.857666, 2.285464
SWITCH;F. SCHOENDOERFFER;08/05/2010;08/05/2010;EXTERIEUR;BOULEVARD DE ROCHECHOUARD;75018;BOULEVARD DE ROCHECHOUARD 75018 Paris France;
SWITCH;F. SCHOENDOERFFER;08/12/2010;13/08/2010;EXTERIEUR;AVENUE ELISEE RECLUS;75007;AVENUE ELISEE RECLUS 75007 Paris France;
UN AMOUR DE JEUNESSE;MIA HANSEN LOVE;09/01/2010;09/01/2010;EXTERIEUR;RUE DE CRIMEE;75019;RUE DE CRIMEE 75019 Paris France;48.886066, 2.382069
UN AMOUR DE JEUNESSE;MIA HANSEN LOVE;09/01/2010;09/01/2010;EXTERIEUR;AVENUE DE FLANDRES;75019;AVENUE DE FLANDRES 75019 Paris France;48.887406, 2.373106
UN AMOUR DE JEUNESSE;MIA HANSEN LOVE;20/08/2010;20/08/2010;EXTERIEUR;RUE SAINT MAUR;75011;RUE SAINT MAUR 75011 Paris France;48.865808, 2.377203
UN AMOUR DE JEUNESSE;MIA HANSEN LOVE;12/10/2010;12/10/2010;EXTERIEUR;TERRE-PLEIN CENTRAL QUAI DE LA RAPEE ET BD BASTILLE;75012;TERRE-PLEIN CENTRAL QUAI DE LA RAPEE ET BD BASTILLE 75012 Paris France;
UN AMOUR DE JEUNESSE;MIA HANSEN LOVE;09/01/2010;09/01/2010;EXTERIEUR;AVENUE JEAN JAURES;75019;AVENUE JEAN JAURES 75019 Paris France;48.88618, 2.382895
UN AMOUR DE JEUNESSE;MIA HANSEN LOVE;14/12/2010;14/12/2010;EXTERIEUR;RUE CHARLOT;75003;RUE CHARLOT 75003 Paris France;48.862886, 2.362589
UN AMOUR DE JEUNESSE;MIA HANSEN LOVE;09/03/2010;09/03/2010;EXTERIEUR;BOULEVARD MASSENA;75013;BOULEVARD MASSENA 75013 Paris France;
UN AMOUR DE JEUNESSE;MIA HANSEN LOVE;09/03/2010;09/03/2010;EXTERIEUR;RUE NATIONALE;75013;RUE NATIONALE 75013 Paris France;
UN AMOUR DE JEUNESSE;MIA HANSEN LOVE;09/01/2010;09/01/2010;DOMAINE PUBLIC;QUAI DE LA LOIRE;75019;QUAI DE LA LOIRE 75019 Paris France;48.885741, 2.375547
J'AIME REGARDER LES FILLES / LE CIEL S'EST DECHIRE;FREDERIC LOUF;19/08/2010;19/08/2010;EXTERIEUR;RUE MARTIGNAC;75007;RUE MARTIGNAC 75007 Paris France;
J'AIME REGARDER LES FILLES / LE CIEL S'EST DECHIRE;FREDERIC LOUF;25/08/2010;25/08/2010;EXTERIEUR;AVENUE VICTOR HUGO;75016;AVENUE VICTOR HUGO 75016 Paris France;48.868405, 2.282084
J'AIME REGARDER LES FILLES / LE CIEL S'EST DECHIRE;FREDERIC LOUF;17/08/2010;17/08/2010;EXTERIEUR;BOULEVARD DES BATIGNOLLES;75017;BOULEVARD DES BATIGNOLLES 75017 Paris France;48.882479, 2.321646
ONE DAY;LONE SCHERFIG;09/01/2010;09/01/2010;EXTERIEUR;RUE MARIE ET LOUISE;75010;RUE MARIE ET LOUISE 75010 Paris France;
POURQUOI TU PLEURES ?;KATIA LEWKOWICZ;24/09/2010;24/09/2010;EXTERIEUR;CARREFOUR DES RUES HERMEL, RAMEY ET DUC;75008;CARREFOUR DES RUES HERMEL, RAMEY ET DUC 75008 Paris France;
POURQUOI TU PLEURES ?;KATIA LEWKOWICZ;27/09/2010;27/09/2010;EXTERIEUR;RUE DES DAMES/R DE LEVIS (ANGLE);75017;RUE DES DAMES/R DE LEVIS (ANGLE) 75017 Paris France;
POURQUOI TU PLEURES ?;KATIA LEWKOWICZ;27/09/2010;27/09/2010;EXTERIEUR;RUE DE MIROMESNIL;75008;RUE DE MIROMESNIL 75008 Paris France;
POURQUOI TU PLEURES ?;KATIA LEWKOWICZ;10/08/2010;10/08/2010;EXTERIEUR;PLACE BOIELDIEU;75002;PLACE BOIELDIEU 75002 Paris France;48.870721, 2.337954
POURQUOI TU PLEURES ?;KATIA LEWKOWICZ;29/09/2010;29/09/2010;DOMAINE PUBLIC;SQUARE SUZANNE BUISSON;75018;SQUARE  SUZANNE BUISSON 75018 Paris France;
POLISSE;MAÃWENN;15/10/2010;15/10/2010;EXTERIEUR;PLACE PIGALLE;75018;PLACE PIGALLE 75018 Paris France;
POLISSE;MAÃWENN;22/09/2010;22/09/2010;DOMAINE PUBLIC;GYMNASE HUYGHENS;75014;GYMNASE  HUYGHENS 75014 Paris France;
POLISSE;MAÃWENN;09/02/2010;09/02/2010;EXTERIEUR;RUE DU FAUBOURG SAINT DENIS;75010;RUE DU FAUBOURG SAINT DENIS 75010 Paris France;48.877194, 2.356223
POLISSE;MAÃWENN;10/05/2010;10/05/2010;EXTERIEUR;RUE DANIELLE CASANOVA;75001;RUE DANIELLE CASANOVA 75001 Paris France;48.867869, 2.33184
POLISSE;MAÃWENN;23/09/2010;23/09/2010;EXTERIEUR;RUE MARIE ET LOUISE;75010;RUE MARIE ET LOUISE 75010 Paris France;
POLISSE;MAÃWENN;22/09/2010;22/09/2010;EXTERIEUR;RUE DE L'ABBE GREGOIRE;75006;RUE DE L'ABBE GREGOIRE 75006 Paris France;48.848322, 2.324804
BEBE/QUI DE NOUS DEUX;CHARLES BELMONT;23/04/2005;23/04/2005;EXTERIEUR;BERGES DU QUAI SAINT BERNARD;75005;BERGES DU QUAI SAINT BERNARD 75005 Paris France;48.846853, 2.360944
CELIBATAIRES;JEAN MICHEL VERNER;14/03/2005;15/03/2005;EXTERIEUR;AVENUE KEBLER;75016;AVENUE KEBLER 75016 Paris France;48.868335, 2.290789
CELIBATAIRES;JEAN MICHEL VERNER;04/12/2005;04/12/2005;EXTERIEUR;RUE BACHAUMONT;75002;RUE BACHAUMONT 75002 Paris France;48.865968, 2.346069
